Età	Stato civile	Tipo di indicatore demografico	Territorio	Seleziona periodo	Sesso	0	Flags
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2017"	"femmine"	1633	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2012"	"totale"	4078	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2013"	"totale"	3738	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2014"	"totale"	3615	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2015"	"totale"	3541	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2016"	"totale"	3551	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ferrara"	"2017"	"totale"	3282	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2012"	"maschi"	2312	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2013"	"maschi"	2236	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2014"	"maschi"	2111	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2015"	"maschi"	2084	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2016"	"maschi"	1973	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2017"	"maschi"	1891	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2012"	"femmine"	2372	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2013"	"femmine"	2222	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2014"	"femmine"	2158	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2015"	"femmine"	2202	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2016"	"femmine"	2024	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2017"	"femmine"	1943	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2012"	"totale"	4684	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2013"	"totale"	4458	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2014"	"totale"	4269	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2015"	"totale"	4286	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2016"	"totale"	3997	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Ravenna"	"2017"	"totale"	3834	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2012"	"maschi"	2565	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2013"	"maschi"	2290	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2014"	"maschi"	2407	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2015"	"maschi"	2231	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2016"	"maschi"	2044	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2017"	"maschi"	2066	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2012"	"femmine"	2516	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2013"	"femmine"	2444	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2014"	"femmine"	2377	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2015"	"femmine"	2264	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2016"	"femmine"	2107	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2017"	"femmine"	2096	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2012"	"totale"	5081	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2013"	"totale"	4734	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2014"	"totale"	4784	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2015"	"totale"	4495	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2016"	"totale"	4151	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Forlì-Cesena"	"2017"	"totale"	4162	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2012"	"maschi"	1985	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2013"	"maschi"	1855	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2014"	"maschi"	2049	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2015"	"maschi"	1958	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2016"	"maschi"	1832	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2017"	"maschi"	1828	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2012"	"femmine"	2031	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2013"	"femmine"	2084	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2014"	"femmine"	1983	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2015"	"femmine"	2022	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2016"	"femmine"	1993	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2017"	"femmine"	1937	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2012"	"totale"	4016	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2013"	"totale"	3939	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2014"	"totale"	4032	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2015"	"totale"	3980	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2016"	"totale"	3825	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Rimini"	"2017"	"totale"	3765	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2012"	"maschi"	72137	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2013"	"maschi"	70219	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2014"	"maschi"	72352	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2015"	"maschi"	72129	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2016"	"maschi"	69884	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2017"	"maschi"	68443	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2012"	"femmine"	73280	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2013"	"femmine"	70876	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2014"	"femmine"	72949	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2015"	"femmine"	71696	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2016"	"femmine"	69608	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2017"	"femmine"	68044	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2012"	"totale"	145417	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2013"	"totale"	141095	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2014"	"totale"	145301	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2015"	"totale"	143825	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2016"	"totale"	139492	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Centro"	"2017"	"totale"	136487	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2012"	"maschi"	22025	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2013"	"maschi"	21286	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2014"	"maschi"	21206	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2015"	"maschi"	20923	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2016"	"maschi"	20269	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2017"	"maschi"	19823	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2012"	"femmine"	22345	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2013"	"femmine"	21424	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2014"	"femmine"	21300	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2015"	"femmine"	20971	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2016"	"femmine"	20645	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2017"	"femmine"	20041	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2012"	"totale"	44370	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2013"	"totale"	42710	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2014"	"totale"	42506	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2015"	"totale"	41894	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2016"	"totale"	40914	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Toscana"	"2017"	"totale"	39864	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2012"	"maschi"	1166	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2013"	"maschi"	1200	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2014"	"maschi"	1119	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2015"	"maschi"	1083	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2016"	"maschi"	1097	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2017"	"maschi"	1072	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2012"	"femmine"	1129	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2013"	"femmine"	1108	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2014"	"femmine"	1101	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2015"	"femmine"	1038	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2016"	"femmine"	1050	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2017"	"femmine"	1009	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2012"	"totale"	2295	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2013"	"totale"	2308	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2014"	"totale"	2220	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2015"	"totale"	2121	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2016"	"totale"	2147	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Massa-Carrara"	"2017"	"totale"	2081	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2012"	"maschi"	2248	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2013"	"maschi"	2230	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2014"	"maschi"	2213	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2015"	"maschi"	2086	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2016"	"maschi"	2011	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2017"	"maschi"	2021	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2012"	"femmine"	2288	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2013"	"femmine"	2275	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2014"	"femmine"	2159	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2015"	"femmine"	2130	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2016"	"femmine"	2034	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2017"	"femmine"	1920	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2012"	"totale"	4536	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2013"	"totale"	4505	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2014"	"totale"	4372	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2015"	"totale"	4216	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2016"	"totale"	4045	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Lucca"	"2017"	"totale"	3941	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2012"	"maschi"	1798	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2013"	"maschi"	1599	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2014"	"maschi"	1603	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2015"	"maschi"	1569	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2016"	"maschi"	1637	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2017"	"maschi"	1541	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2012"	"femmine"	1845	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2013"	"femmine"	1784	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2014"	"femmine"	1677	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2015"	"femmine"	1652	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2016"	"femmine"	1575	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2017"	"femmine"	1490	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2012"	"totale"	3643	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2013"	"totale"	3383	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2014"	"totale"	3280	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2015"	"totale"	3221	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2016"	"totale"	3212	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pistoia"	"2017"	"totale"	3031	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2012"	"maschi"	5514	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2013"	"maschi"	5311	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2014"	"maschi"	5570	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2015"	"maschi"	5640	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2016"	"maschi"	5420	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2017"	"maschi"	5326	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2012"	"femmine"	5687	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2013"	"femmine"	5487	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2014"	"femmine"	5726	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2015"	"femmine"	5592	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2016"	"femmine"	5827	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2017"	"femmine"	5646	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2012"	"totale"	11201	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2013"	"totale"	10798	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2014"	"totale"	11296	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2015"	"totale"	11232	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2016"	"totale"	11247	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Firenze"	"2017"	"totale"	10972	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2012"	"maschi"	1591	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2013"	"maschi"	1566	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2014"	"maschi"	1618	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2015"	"maschi"	1528	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2016"	"maschi"	1413	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2017"	"maschi"	1385	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2012"	"femmine"	1630	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2013"	"femmine"	1617	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2014"	"femmine"	1568	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2015"	"femmine"	1589	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2016"	"femmine"	1432	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2017"	"femmine"	1516	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2012"	"totale"	3221	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2013"	"totale"	3183	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2014"	"totale"	3186	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2015"	"totale"	3117	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2016"	"totale"	2845	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Prato"	"2017"	"totale"	2901	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2012"	"maschi"	1987	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2013"	"maschi"	1869	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2014"	"maschi"	1748	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2015"	"maschi"	1818	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2016"	"maschi"	1719	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2017"	"maschi"	1597	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2012"	"femmine"	2005	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2013"	"femmine"	1874	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2014"	"femmine"	1808	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2015"	"femmine"	1749	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2016"	"femmine"	1649	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2017"	"femmine"	1632	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2012"	"totale"	3992	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2013"	"totale"	3743	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2014"	"totale"	3556	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2015"	"totale"	3567	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2016"	"totale"	3368	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Livorno"	"2017"	"totale"	3229	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2012"	"maschi"	2760	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2013"	"maschi"	2639	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2014"	"maschi"	2653	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2015"	"maschi"	2550	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2016"	"maschi"	2415	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2017"	"maschi"	2436	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2012"	"femmine"	2653	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2013"	"femmine"	2568	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2014"	"femmine"	2476	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2015"	"femmine"	2394	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2016"	"femmine"	2491	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2017"	"femmine"	2342	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2012"	"totale"	5413	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2013"	"totale"	5207	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2014"	"totale"	5129	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2015"	"totale"	4944	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2016"	"totale"	4906	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Pisa"	"2017"	"totale"	4778	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2012"	"maschi"	2130	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2013"	"maschi"	2098	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2014"	"maschi"	2013	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2015"	"maschi"	1928	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2016"	"maschi"	1939	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2017"	"maschi"	1839	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2012"	"femmine"	2207	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2013"	"femmine"	2063	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2014"	"femmine"	2029	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2015"	"femmine"	1975	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2016"	"femmine"	1889	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2017"	"femmine"	1947	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2012"	"totale"	4337	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2013"	"totale"	4161	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2014"	"totale"	4042	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2015"	"totale"	3903	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2016"	"totale"	3828	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Arezzo"	"2017"	"totale"	3786	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2012"	"maschi"	1570	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2013"	"maschi"	1554	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2014"	"maschi"	1476	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2015"	"maschi"	1567	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2016"	"maschi"	1454	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2017"	"maschi"	1488	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2012"	"femmine"	1649	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2013"	"femmine"	1532	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2014"	"femmine"	1573	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2015"	"femmine"	1636	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2016"	"femmine"	1556	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2017"	"femmine"	1495	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2012"	"totale"	3219	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2013"	"totale"	3086	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2014"	"totale"	3049	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2015"	"totale"	3203	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2016"	"totale"	3010	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Siena"	"2017"	"totale"	2983	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2012"	"maschi"	1261	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2013"	"maschi"	1220	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2014"	"maschi"	1193	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2015"	"maschi"	1154	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2016"	"maschi"	1164	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2017"	"maschi"	1118	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2012"	"femmine"	1252	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2013"	"femmine"	1116	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2014"	"femmine"	1183	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2015"	"femmine"	1216	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2016"	"femmine"	1142	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2017"	"femmine"	1044	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2012"	"totale"	2513	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2013"	"totale"	2336	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2014"	"totale"	2376	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2015"	"totale"	2370	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2016"	"totale"	2306	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Grosseto"	"2017"	"totale"	2162	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Umbria"	"2012"	"maschi"	5508	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Umbria"	"2013"	"maschi"	5353	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Umbria"	"2014"	"maschi"	5330	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Umbria"	"2015"	"maschi"	5185	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Umbria"	"2016"	"maschi"	5216	
